"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cart badge counter","2","0","","0"
"0","","0","Checkout process","2","0","","0"
"0","","0","Cart management","3","0","","0"
"0","","0","User logout","1","0","","0"
"0","","1","User authentication","2","0","","0"
